EVCount,StationCount,TotalChargers,EVsPerCharger,CoverageGapFlag,StationKey,CalendarKey,GeographyKey,VehicleKey,ZipCode,City,County,State,Latitude,Longitude
505,5,8,63.13,1,1551,1,232,1,98404,Tacoma,Pierce,WA,,
454,8,15,30.27,1,473,1,233,1,98405,Tacoma,Pierce,WA,,
668,3,5,133.6,1,226,1,234,1,98406,Tacoma,Pierce,WA,,
886,6,9,98.44,1,564,1,235,1,98407,Ruston,Pierce,WA,,
316,4,20,15.8,1,1330,1,236,1,98408,Tacoma,Pierce,WA,,
478,29,151,3.17,0,24,1,237,1,98409,Tacoma,Pierce,WA,,
1,0,0,0.0,1,0,1,238,1,98411,Tacoma,Pierce,WA,,
1,0,0,0.0,1,0,1,239,1,98416,Tacoma,Pierce,WA,,
1,0,0,0.0,1,0,1,240,1,98417,Tacoma,Pierce,WA,,
164,3,4,41.0,1,1552,1,241,1,98418,Tacoma,Pierce,WA,,
39,12,34,1.15,0,128,1,242,1,98421,Tacoma,Pierce,WA,,
900,2,3,300.0,1,1313,1,243,1,98422,Tacoma,Pierce,WA,,
327,3,4,81.75,1,477,1,244,1,98424,Fife,Pierce,WA,,
3,0,0,0.0,1,0,1,245,1,98431,Tacoma,Pierce,WA,,
175,1,1,175.0,1,287,1,246,1,98433,Joint Base Lewis Mcchord,Pierce,WA,,
10,0,0,0.0,1,0,1,247,1,98438,Joint Base Lewis Mcchord,Pierce,WA,,
165,0,0,0.0,1,0,1,248,1,98439,Lakewood,Pierce,WA,,
104,0,0,0.0,1,0,1,249,1,98443,Tacoma,Pierce,WA,,
394,3,4,98.5,1,1602,1,250,1,98444,Parkland,Pierce,WA,,
525,0,0,0.0,1,0,1,251,1,98445,Tacoma,Pierce,WA,,
236,2,4,59.0,1,766,1,252,1,98446,Parkland,Pierce,WA,,
210,1,2,105.0,1,1371,1,253,1,98465,Tacoma,Pierce,WA,,
872,1,12,72.67,1,2522,1,254,1,98466,Fircrest,Pierce,WA,,
522,1,1,522.0,1,566,1,255,1,98467,University Place,Pierce,WA,,
1,0,0,0.0,1,0,1,256,1,98493,Tacoma,Pierce,WA,,
1,0,0,0.0,1,0,1,257,1,98496,Lakewood,Pierce,WA,,
662,2,6,110.33,1,988,1,258,1,98498,Lakewood,Pierce,WA,,
459,5,8,57.38,1,478,1,259,1,98499,Incorporated,Pierce,WA,,
2860,28,54,52.96,1,134,1,260,1,98501,Olympia,Thurston,WA,,
1372,18,39,35.18,1,17,1,261,1,98502,Olympia,Thurston,WA,,
